Term    ,TF
이승우,337
벨기에,120
것,102
경기,94
태도,79
팀,67
리그,67
출전,61
위,60
신,53
훈련,51
매체,51
등,50
모습,49
불성실,45
원,44
수,42
축구,39
과거,38
투자,38
